iso3,country_name_scopus,country_name_official,subregion
DZA,Algeria,Algeria,North Africa
AGO,Angola,Angola,Southern Africa
BEN,Benin,Benin,West Africa
BWA,Botswana,Botswana,Southern Africa
BFA,Burkina Faso,Burkina Faso,West Africa
BDI,Burundi,Burundi,East Africa
CPV,Cabo Verde,Cabo Verde,West Africa
CMR,Cameroon,Cameroon,Central Africa
CAF,Central African Republic,Central African Republic,Central Africa
TCD,Chad,Chad,Central Africa
COM,Comoros,Comoros,East Africa
COG,Congo,Republic of the Congo,Central Africa
CIV,Cote d'Ivoire,Cote d'Ivoire,West Africa
COD,Democratic Republic Congo,Democratic Republic of the Congo,Central Africa
DJI,Djibouti,Djibouti,East Africa
EGY,Egypt,Egypt,North Africa
GNQ,Equatorial Guinea,Equatorial Guinea,Central Africa
ERI,Eritrea,Eritrea,East Africa
SWZ,Eswatini,Eswatini,Southern Africa
ETH,Ethiopia,Ethiopia,East Africa
GAB,Gabon,Gabon,Central Africa
GMB,Gambia,The Gambia,West Africa
GHA,Ghana,Ghana,West Africa
GIN,Guinea,Guinea,West Africa
GNB,Guinea-Bissau,Guinea-Bissau,West Africa
KEN,Kenya,Kenya,East Africa
LSO,Lesotho,Lesotho,Southern Africa
LBR,Liberia,Liberia,West Africa
LBY,Libya,Libya,North Africa
MDG,Madagascar,Madagascar,East Africa
MWI,Malawi,Malawi,East Africa
MLI,Mali,Mali,West Africa
MRT,Mauritania,Mauritania,West Africa
MUS,Mauritius,Mauritius,East Africa
MAR,Morocco,Morocco,North Africa
MOZ,Mozambique,Mozambique,East Africa
NAM,Namibia,Namibia,Southern Africa
NER,Niger,Niger,West Africa
NGA,Nigeria,Nigeria,West Africa
RWA,Rwanda,Rwanda,East Africa
STP,Sao Tome and Principe,Sao Tome and Principe,Central Africa
SEN,Senegal,Senegal,West Africa
SYC,Seychelles,Seychelles,East Africa
SLE,Sierra Leone,Sierra Leone,West Africa
SOM,Somalia,Somalia,East Africa
ZAF,South Africa,South Africa,Southern Africa
SSD,South Sudan,South Sudan,East Africa
SDN,Sudan,Sudan,North Africa
TZA,Tanzania,United Republic of Tanzania,East Africa
TGO,Togo,Togo,West Africa
TUN,Tunisia,Tunisia,North Africa
UGA,Uganda,Uganda,East Africa
ZMB,Zambia,Zambia,Southern Africa
ZWE,Zimbabwe,Zimbabwe,Southern Africa
