"from","to","Inclusion","Inc_Weighted","Stability","PageRankIndex","group","color","lineage_strength"
0,4,0.25,0.121104536489152,0.125,0.142417163635508,"climate change--2015-2018","#D3D3D380",0.13176085006233
0,5,0.25,0.878895463510848,0.0833333333333333,0.412353871261619,"climate change--2015-2018","#E41A1C80",0.645624667386233
1,4,0.333333333333333,1,0.142857142857143,0.465282872293451,"heavy metal--2015-2018","#D3D3D380",0.732641436146725
2,7,0.125,0.723199672667758,0.0555555555555556,0.310707441727573,"human immunodeficiency virus--2015-2018","#377EB880",0.516953557197666
3,5,0.25,1,0.0833333333333333,0.325347192286332,"sustainability--2015-2018","#D3D3D380",0.662673596143166
4,9,0.2,0.607379134860051,0.111111111111111,0.387044992924963,"adsorption--2019-2022","#984EA380",0.497212063892507
4,10,0.25,0.186259541984733,0.125,0.168149912132542,"adsorption--2019-2022","#D3D3D380",0.177204727058638
4,11,0.2,0.206361323155216,0.111111111111111,0.188330377662615,"adsorption--2019-2022","#D3D3D380",0.197345850408915
5,12,0.2,0.692253272019809,0.0769230769230769,0.409639642716619,"climate change--2019-2022","#E41A1C80",0.550946457368214
5,11,0.2,0.413305933727203,0.0769230769230769,0.287517229935121,"climate change--2019-2022","#D3D3D380",0.350411581831162
6,13,0.25,0.453566229985444,0.0909090909090909,0.456158046133784,"covid19--2019-2022","#FF7F0080",0.454862138059614
7,13,0.125,0.65202279994439,0.0666666666666667,0.25471565812062,"human immunodeficiency virus--2019-2022","#D3D3D380",0.453369229032505
8,13,1,1,0.125,0.334434073666394,"knowledge--2019-2022","#D3D3D380",0.667217036833197
