ror_id,canonical_name,country,total_pubs,total_citations,cpp
https://ror.org/03p74gp79,University of Cape Town,South Africa,10643,517614.0,48.63
https://ror.org/04z6c2n17,University of Johannesburg,South Africa,9660,230370.0,23.85
https://ror.org/04qzfn040,University of KwaZulu-Natal,South Africa,9527,379391.0,39.82
https://ror.org/03rp50x72,University of the Witwatersrand,South Africa,8975,322357.0,35.92
https://ror.org/05bk57929,Stellenbosch University,South Africa,8549,404968.0,47.37
https://ror.org/00g0p6g84,University of Pretoria,South Africa,8440,203724.0,24.14
https://ror.org/03q21mh05,Cairo University,Egypt,7562,351790.0,46.52
https://ror.org/038b8e254,Addis Ababa University,Ethiopia,6184,291407.0,47.12
https://ror.org/01r22mr83,University of Ghana,Ghana,5965,142102.0,23.82
https://ror.org/048cwvf49,University of South Africa,South Africa,5905,111988.0,18.96
https://ror.org/03dmz0111,Makerere University,Uganda,5837,177222.0,30.36
https://ror.org/010f1sq29,North-West University,South Africa,5253,228412.0,43.48
https://ror.org/00cb23x68,Kwame Nkrumah University of Science and Technology,Ghana,4873,163656.0,33.58
https://ror.org/00mzz1w90,Alexandria University,Egypt,4686,199801.0,42.64
https://ror.org/03wx2rr30,University of Ibadan,Nigeria,4618,265590.0,57.51
https://ror.org/02n85j827,National Research Centre,Egypt,4506,107071.0,23.76
https://ror.org/00cb9w016,Ain Shams University,Egypt,4457,247544.0,55.54
https://ror.org/01sn1yx84,University of Nigeria,Nigeria,4274,132950.0,31.11
https://ror.org/01k8vtd75,Mansoura University,Egypt,4267,243365.0,57.03
https://ror.org/009xwd568,University of the Free State,South Africa,3783,92343.0,24.41
https://ror.org/0595gz585,University of Gondar,Ethiopia,3762,238209.0,63.32
https://ror.org/053g6we49,Zagazig University,Egypt,3401,105942.0,31.15
https://ror.org/01670bg46,Bahir Dar University,Ethiopia,3391,228635.0,67.42
https://ror.org/05fnp1145,Al-Azhar University,Egypt,3192,112385.0,35.21
https://ror.org/03ve8wd49,GS1 South Africa,South Africa,3111,134244.0,43.15
https://ror.org/02y9nww90,University of Nairobi,Kenya,3069,156168.0,50.89
https://ror.org/016jp5b92,Tanta University,Egypt,3004,118375.0,39.41
https://ror.org/00h2vm590,University of the Western Cape,South Africa,2967,91280.0,30.77
https://ror.org/0357r2107,Ministry of Health,Malawi,2964,250498.0,84.51
https://ror.org/05eer8g02,Jimma University,Ethiopia,2851,205686.0,72.15
